Creating surface profile...
Computing temperature evolution...
V12.671 isualisation
         6551831 function calls (6505180 primitive calls) in 12.671 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    749/1    0.003    0.000   12.671   12.671 {built-in method builtins.exec}
        1    0.376    0.376   12.671   12.671 main.py:1(<module>)
    82197    4.513    0.000    9.497    0.000 solvers.py:30(implicit_scheme)
    82197    1.499    0.000    3.759    0.000 _basic.py:365(solve_banded)
   164394    0.486    0.000    2.061    0.000 _util.py:206(_asarray_validated)
       97    0.005    0.000    1.713    0.018 __init__.py:1(<module>)
   164394    0.421    0.000    1.072    0.000 function_base.py:562(asarray_chkfinite)
   882/14    0.005    0.000    0.955    0.068 <frozen importlib._bootstrap>:1022(_find_and_load)
   876/13    0.003    0.000    0.955    0.073 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
   841/15    0.004    0.000    0.953    0.064 <frozen importlib._bootstrap>:664(_load_unlocked)
   718/14    0.002    0.000    0.952    0.068 <frozen importlib._bootstrap_external>:877(exec_module)
  1213/16    0.001    0.000    0.951    0.059 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    82197    0.906    0.000    0.906    0.000 solvers.py:76(set_flux_BC)
        1    0.003    0.003    0.900    0.900 solar_flux.py:17(__init__)
    82197    0.140    0.000    0.855    0.000 solvers.py:20(__init__)
164867/164643    0.103    0.000    0.798    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.761    0.761 solar_flux.py:23(import_flux)
        1    0.000    0.000    0.761    0.761 _idl.py:675(readsav)
   585/96    0.001    0.000    0.754    0.008 {built-in method builtins.__import__}
       27    0.000    0.000    0.718    0.027 _idl.py:315(_read_record)
       13    0.014    0.001    0.717    0.055 _idl.py:268(_read_array)
    82198    0.066    0.000    0.715    0.000 <__array_function__ internals>:177(diff)
 1125/474    0.003    0.000    0.689    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
   164394    0.078    0.000    0.607    0.000 {method 'all' of 'numpy.ndarray' objects}
    82198    0.511    0.000    0.568    0.000 function_base.py:1320(diff)
   164394    0.067    0.000    0.529    0.000 _methods.py:61(_all)
   164652    0.463    0.000    0.463    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.422    0.422 pyplot.py:1(<module>)
1800/1683    0.032    0.000    0.414    0.000 {built-in method builtins.__build_class__}
    27411    0.236    0.000    0.412    0.000 _idl.py:181(_read_data)
   164394    0.140    0.000    0.366    0.000 numerictypes.py:356(issubdtype)
    83459    0.308    0.000    0.308    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.296    0.296 solar_flux.py:1(<module>)
      100    0.001    0.000    0.262    0.003 artist.py:159(_update_set_signature_and_docstring)
       99    0.000    0.000    0.257    0.003 artist.py:126(__init_subclass__)
    82197    0.061    0.000    0.239    0.000 <__array_function__ internals>:177(copy)
   328788    0.141    0.000    0.213    0.000 numerictypes.py:282(issubclass_)
        1    0.000    0.000    0.209    0.209 figure.py:1(<module>)
      112    0.001    0.000    0.205    0.002 artist.py:1841(kwdoc)
    27402    0.064    0.000    0.177    0.000 _idl.py:169(_read_string_data)
        1    0.000    0.000    0.176    0.176 colorbar.py:1(<module>)
      112    0.006    0.000    0.175    0.002 artist.py:1602(pprint_setters)
    82197    0.140    0.000    0.173    0.000 blas.py:384(getter)
      718    0.006    0.000    0.147    0.000 <frozen importlib._bootstrap_external>:950(get_code)
        9    0.000    0.000    0.146    0.016 api.py:1(<module>)
     4050    0.012    0.000    0.143    0.000 artist.py:1474(get_valid_values)
        1    0.000    0.000    0.137    0.137 solar_flux.py:34(import_albedos)
