Creating surface profile...
Computing temperature evolution...
         5351012 function calls (5302262 primitive calls) in 6.801 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    991/1    0.005    0.000    6.801    6.801 {built-in method builtins.exec}
        1    0.316    0.316    6.801    6.801 main.py:1(<module>)
    88213    0.727    0.000    4.326    0.000 solvers.py:32(implicit_scheme)
    88213    1.654    0.000    2.811    0.000 _basic.py:365(solve_banded)
      124    0.004    0.000    1.864    0.015 __init__.py:1(<module>)
        1    0.029    0.029    1.046    1.046 solar_flux.py:17(__init__)
  1098/14    0.005    0.000    1.044    0.075 <frozen importlib._bootstrap>:1022(_find_and_load)
  1091/13    0.004    0.000    1.044    0.080 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
  1050/15    0.004    0.000    1.042    0.069 <frozen importlib._bootstrap>:664(_load_unlocked)
   919/14    0.002    0.000    1.042    0.074 <frozen importlib._bootstrap_external>:877(exec_module)
  1519/17    0.001    0.000    1.040    0.061 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   176426    0.449    0.000    0.985    0.000 _util.py:206(_asarray_validated)
        1    0.000    0.000    0.886    0.886 solar_flux.py:23(import_flux)
        1    0.000    0.000    0.886    0.886 _idl.py:675(readsav)
  670/109    0.002    0.000    0.869    0.008 {built-in method builtins.__import__}
       27    0.000    0.000    0.845    0.031 _idl.py:315(_read_record)
       13    0.012    0.001    0.843    0.065 _idl.py:268(_read_array)
 1411/507    0.003    0.000    0.798    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
    88213    0.549    0.000    0.549    0.000 solvers.py:68(set_flux_BC)
    83685    0.491    0.000    0.491    0.000 {method 'read' of '_io.BufferedReader' objects}
3008/2887    0.039    0.000    0.428    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.394    0.394 pyplot.py:1(<module>)
   176458    0.153    0.000    0.374    0.000 numerictypes.py:356(issubdtype)
    27411    0.206    0.000    0.356    0.000 _idl.py:181(_read_data)
        1    0.000    0.000    0.289    0.289 solar_flux.py:1(<module>)
      100    0.001    0.000    0.252    0.003 artist.py:159(_update_set_signature_and_docstring)
       99    0.000    0.000    0.247    0.002 artist.py:126(__init_subclass__)
    88213    0.067    0.000    0.239    0.000 <__array_function__ internals>:177(count_nonzero)
   352916    0.141    0.000    0.208    0.000 numerictypes.py:282(issubclass_)
      112    0.000    0.000    0.198    0.002 artist.py:1841(kwdoc)
        1    0.000    0.000    0.187    0.187 figure.py:1(<module>)
        1    0.000    0.000    0.175    0.175 colorbar.py:1(<module>)
      112    0.005    0.000    0.169    0.002 artist.py:1602(pprint_setters)
88719/88463    0.044    0.000    0.160    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    88213    0.133    0.000    0.155    0.000 blas.py:384(getter)
    27402    0.056    0.000    0.150    0.000 _idl.py:169(_read_string_data)
      919    0.007    0.000    0.150    0.000 <frozen importlib._bootstrap_external>:950(get_code)
        1    0.000    0.000    0.146    0.146 solvers.py:1(<module>)
     4050    0.011    0.000    0.137    0.000 artist.py:1474(get_valid_values)
        9    0.000    0.000    0.131    0.015 api.py:1(<module>)
        1    0.000    0.000    0.130    0.130 solar_flux.py:34(import_albedos)
        1    0.000    0.000    0.130    0.130 _base.py:437(read_excel)
        3    0.000    0.000    0.115    0.038 generic.py:1(<module>)
    88213    0.044    0.000    0.113    0.000 numeric.py:431(count_nonzero)
        1    0.000    0.000    0.101    0.101 contour.py:1(<module>)
        1    0.000    0.000    0.097    0.097 backend_bases.py:1(<module>)
     6797    0.057    0.000    0.092    0.000 inspect.py:744(cleandoc)
        1    0.000    0.000    0.092    0.092 _base.py:1464(__init__)
        1    0.000    0.000    0.088    0.088 _xlrd.py:20(__init__)
        1    0.000    0.000    0.087    0.087 _base.py:519(__init__)
        1    0.000    0.000    0.087    0.087 _xlrd.py:43(load_workbook)
      918    0.002    0.000    0.087    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        1    0.000    0.000    0.087    0.087 __init__.py:84(open_workbook)
        1    0.000    0.000    0.087    0.087 book.py:59(open_workbook_xls)
     6764    0.006    0.000    0.087    0.000 inspect.py:725(getdoc)
        1    0.000    0.000    0.085    0.085 book.py:717(get_sheets)
        1    0.000    0.000    0.085    0.085 book.py:696(get_sheet)
        1    0.027    0.027    0.085    0.085 sheet.py:789(read)
      918    0.084    0.000    0.084    0.000 {built-in method marshal.loads}
     1078    0.007    0.000    0.084    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        1    0.000    0.000    0.082    0.082 text.py:1(<module>)
   533504    0.081    0.000    0.081    0.000 {built-in method builtins.issubclass}
   176426    0.046    0.000    0.078    0.000 _base.py:1301(isspmatrix)
548885/548880    0.072    0.000    0.076    0.000 {built-in method builtins.isinstance}
    88217    0.056    0.000    0.072    0.000 std.py:1157(__iter__)
        1    0.000    0.000    0.071    0.071 _mio.py:1(<module>)
     7660    0.006    0.000    0.070    0.000 re.py:288(_compile)
    88213    0.070    0.000    0.070    0.000 {built-in method numpy.core._multiarray_umath.count_nonzero}
     1074    0.001    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        3    0.000    0.000    0.068    0.023 decorators.py:1(<module>)
        1    0.000    0.000    0.068    0.068 collections.py:1(<module>)
1075/1074    0.004    0.000    0.068    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        1    0.000    0.000    0.067    0.067 _mio4.py:1(<module>)
        1    0.000    0.000    0.065    0.065 stencil.py:1(<module>)
      213    0.001    0.000    0.064    0.000 artist.py:1426(__init__)
      213    0.010    0.000    0.063    0.000 artist.py:1446(get_aliases)
    55103    0.048    0.000    0.061    0.000 _idl.py:100(_read_long)
      264    0.001    0.000    0.060    0.000 sre_compile.py:783(compile)
   176426    0.039    0.000    0.060    0.000 core.py:6425(isMaskedArray)
     1470    0.012    0.000    0.059    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        3    0.000    0.000    0.058    0.019 _base.py:1(<module>)
        1    0.000    0.000    0.057    0.057 patches.py:1(<module>)
        1    0.000    0.000    0.056    0.056 rcsetup.py:1(<module>)
1050/1046    0.002    0.000    0.055    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        3    0.000    0.000    0.054    0.018 registry.py:1(<module>)
        1    0.000    0.000    0.054    0.054 dispatcher.py:1(<module>)
        1    0.000    0.000    0.053    0.053 frame.py:1(<module>)
        1    0.000    0.000    0.051    0.051 compiler.py:1(<module>)
        1    0.000    0.000    0.051    0.051 _axes.py:1(<module>)
        9    0.000    0.000    0.048    0.005 base.py:1(<module>)
        1    0.000    0.000    0.043    0.043 _laplacian.py:1(<module>)
     5304    0.003    0.000    0.043    0.000 re.py:197(search)
