Creating surface profile...
Computing temperature evolution...
Visualisation
         4014645 function calls (3968377 primitive calls) in 6.743 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    776/1    0.003    0.000    6.744    6.744 {built-in method builtins.exec}
        1    0.170    0.170    6.744    6.744 main.py:1(<module>)
    27399    1.504    0.000    3.197    0.000 solvers.py:112(implicit_scheme)
    27399    0.074    0.000    1.439    0.000 solar_flux.py:68(get_flux)
      106    0.004    0.000    1.366    0.013 __init__.py:1(<module>)
   136999    1.091    0.000    1.301    0.000 solar_flux.py:80(find_nearest)
    27399    0.448    0.000    1.260    0.000 _basic.py:365(solve_banded)
   914/14    0.004    0.000    0.812    0.058 <frozen importlib._bootstrap>:1022(_find_and_load)
   907/13    0.003    0.000    0.812    0.062 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
   876/15    0.003    0.000    0.810    0.054 <frozen importlib._bootstrap>:664(_load_unlocked)
   745/14    0.002    0.000    0.810    0.058 <frozen importlib._bootstrap_external>:877(exec_module)
  1249/16    0.001    0.000    0.809    0.051 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.002    0.002    0.772    0.772 solar_flux.py:16(__init__)
    54798    0.173    0.000    0.740    0.000 _util.py:206(_asarray_validated)
        1    0.000    0.000    0.636    0.636 solar_flux.py:22(import_flux)
        1    0.000    0.000    0.636    0.636 _idl.py:675(readsav)
   574/91    0.001    0.000    0.620    0.007 {built-in method builtins.__import__}
       27    0.000    0.000    0.595    0.022 _idl.py:315(_read_record)
       13    0.012    0.001    0.593    0.046 _idl.py:268(_read_array)
 1062/451    0.002    0.000    0.562    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
1832/1715    0.022    0.000    0.391    0.000 {built-in method builtins.__build_class__}
    54798    0.150    0.000    0.386    0.000 function_base.py:561(asarray_chkfinite)
        1    0.000    0.000    0.369    0.369 pyplot.py:1(<module>)
    27411    0.205    0.000    0.349    0.000 _idl.py:181(_read_data)
    27399    0.055    0.000    0.322    0.000 solvers.py:21(__init__)
    27399    0.305    0.000    0.305    0.000 solvers.py:80(set_flux_BC)
55303/55047    0.044    0.000    0.304    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    27400    0.037    0.000    0.291    0.000 solar_flux.py:48(get_local_fluxs)
    27400    0.024    0.000    0.267    0.000 <__array_function__ internals>:177(diff)
        1    0.000    0.000    0.246    0.246 solar_flux.py:1(<module>)
    83418    0.245    0.000    0.245    0.000 {method 'read' of '_io.BufferedReader' objects}
      100    0.001    0.000    0.237    0.002 artist.py:159(_update_set_signature_and_docstring)
       99    0.000    0.000    0.233    0.002 artist.py:126(__init_subclass__)
    27400    0.026    0.000    0.228    0.000 solar_flux.py:53(get_local_albedos)
    54798    0.029    0.000    0.222    0.000 {method 'all' of 'numpy.ndarray' objects}
    27400    0.188    0.000    0.212    0.000 function_base.py:1319(diff)
   136999    0.196    0.000    0.196    0.000 {method 'argmin' of 'numpy.ndarray' objects}
    54798    0.022    0.000    0.193    0.000 _methods.py:60(_all)
      112    0.000    0.000    0.187    0.002 artist.py:1841(kwdoc)
        1    0.000    0.000    0.184    0.184 figure.py:1(<module>)
    55088    0.172    0.000    0.172    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      112    0.005    0.000    0.161    0.001 artist.py:1602(pprint_setters)
        9    0.000    0.000    0.158    0.018 api.py:1(<module>)
        1    0.000    0.000    0.153    0.153 colorbar.py:1(<module>)
    27402    0.055    0.000    0.144    0.000 _idl.py:169(_read_string_data)
        1    0.000    0.000    0.134    0.134 solar_flux.py:33(import_albedos)
        1    0.000    0.000    0.134    0.134 _decorators.py:170(wrapper)
      2/1    0.000    0.000    0.134    0.134 _decorators.py:323(wrapper)
        1    0.000    0.000    0.134    0.134 _base.py:440(read_excel)
    54830    0.053    0.000    0.133    0.000 numerictypes.py:356(issubdtype)
     4050    0.011    0.000    0.131    0.000 artist.py:1474(get_valid_values)
        3    0.000    0.000    0.113    0.038 generic.py:1(<module>)
      745    0.005    0.000    0.097    0.000 <frozen importlib._bootstrap_external>:950(get_code)
    27399    0.024    0.000    0.094    0.000 <__array_function__ internals>:177(copy)
        1    0.000    0.000    0.094    0.094 _base.py:1620(__init__)
        1    0.000    0.000    0.090    0.090 _xlrd.py:20(__init__)
        1    0.000    0.000    0.090    0.090 _base.py:524(__init__)
        1    0.000    0.000    0.089    0.089 _xlrd.py:43(load_workbook)
        1    0.000    0.000    0.089    0.089 __init__.py:84(open_workbook)
        1    0.000    0.000    0.089    0.089 book.py:59(open_workbook_xls)
     6797    0.056    0.000    0.088    0.000 inspect.py:744(cleandoc)
        1    0.000    0.000    0.088    0.088 contour.py:1(<module>)
        1    0.000    0.000    0.087    0.087 book.py:717(get_sheets)
        1    0.000    0.000    0.087    0.087 book.py:696(get_sheet)
        1    0.028    0.028    0.087    0.087 sheet.py:789(read)
