Creating surface profile...
Computing temperature evolution...
Visualisation
         40024054 function calls (39816329 primitive calls) in 67.037 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1066/1    0.006    0.000   67.040   67.040 {built-in method builtins.exec}
        1    3.012    3.012   67.040   67.040 main.py:1(<module>)
   684975    9.271    0.000   54.131    0.000 solvers.py:31(implicit_scheme)
   684975   11.915    0.000   30.317    0.000 _basic.py:365(solve_banded)
  1369950    3.907    0.000   16.900    0.000 _util.py:206(_asarray_validated)
  1369950    3.389    0.000    8.989    0.000 function_base.py:561(asarray_chkfinite)
   684975    7.344    0.000    7.785    0.000 solvers.py:90(compute_matrix)
   684975    1.089    0.000    6.971    0.000 solvers.py:21(__init__)
   684976    0.493    0.000    5.882    0.000 <__array_function__ internals>:177(diff)
688686/688430    0.555    0.000    5.289    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1369950    0.659    0.000    5.206    0.000 {method 'all' of 'numpy.ndarray' objects}
   684975    4.815    0.000    4.815    0.000 solvers.py:59(set_flux_BC)
   684976    4.268    0.000    4.731    0.000 function_base.py:1319(diff)
  1369950    0.478    0.000    4.547    0.000 _methods.py:60(_all)
  1370240    4.070    0.000    4.070    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1369982    1.113    0.000    2.934    0.000 numerictypes.py:356(issubdtype)
      127    0.005    0.000    2.032    0.016 __init__.py:1(<module>)
        1    0.000    0.000    1.943    1.943 dispatcher.py:388(_compile_for_args)
     15/1    0.000    0.000    1.933    1.933 dispatcher.py:915(compile)
      5/1    0.000    0.000    1.933    1.933 dispatcher.py:124(compile)
      5/1    0.000    0.000    1.933    1.933 dispatcher.py:131(_compile_cached)
      5/1    0.000    0.000    1.933    1.933 dispatcher.py:146(_compile_core)
      5/1    0.000    0.000    1.933    1.933 compiler.py:690(compile_extra)
   277/26    0.001    0.000    1.769    0.068 compiler_lock.py:32(_acquire_compile_lock)
     11/1    0.000    0.000    1.744    1.744 compiler.py:446(compile_extra)
     11/1    0.000    0.000    1.743    1.743 compiler.py:515(_compile_bytecode)
     11/1    0.000    0.000    1.743    1.743 compiler.py:469(_compile_core)
     11/1    0.001    0.000    1.742    1.742 compiler_machinery.py:342(run)
   275/25    0.009    0.000    1.742    0.070 compiler_machinery.py:268(_runPass)
   825/75    0.001    0.000    1.728    0.023 compiler_machinery.py:272(check)
  2739964    1.149    0.000    1.723    0.000 numerictypes.py:282(issubclass_)
     11/4    0.001    0.000    1.492    0.373 typed_passes.py:363(run_pass)
 1323/207    0.007    0.000    1.298    0.006 <frozen importlib._bootstrap>:1022(_find_and_load)
   684975    1.065    0.000    1.296    0.000 blas.py:384(getter)
  1164/54    0.005    0.000    1.293    0.024 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
  1122/56    0.005    0.000    1.288    0.023 <frozen importlib._bootstrap>:664(_load_unlocked)
  1640/57    0.001    0.000    1.288    0.023 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   990/55    0.003    0.000    1.286    0.023 <frozen importlib._bootstrap_external>:877(exec_module)
        1    0.032    0.032    1.135    1.135 solar_flux.py:17(__init__)
     11/4    0.000    0.000    1.066    0.267 lowering.py:163(lower)
  719/142    0.002    0.000    1.058    0.007 {built-in method builtins.__import__}
12862/11768    0.016    0.000    1.031    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    0.957    0.957 solar_flux.py:23(import_flux)
        1    0.000    0.000    0.957    0.957 _idl.py:675(readsav)
       27    0.001    0.000    0.911    0.034 _idl.py:315(_read_record)
       13    0.014    0.001    0.909    0.070 _idl.py:268(_read_array)
     11/4    0.000    0.000    0.835    0.209 lowering.py:214(lower_normal_function)
     11/4    0.000    0.000    0.831    0.208 lowering.py:231(lower_function_body)
     22/4    0.002    0.000    0.831    0.208 lowering.py:255(lower_block)
  639/343    0.003    0.000    0.827    0.002 lowering.py:433(lower_inst)
  304/170    0.001    0.000    0.714    0.004 lowering.py:616(lower_assign)
   133/67    0.001    0.000    0.706    0.011 lowering.py:1136(lower_expr)
  4131887    0.675    0.000    0.681    0.000 {built-in method builtins.issubclass}
  1369950    0.378    0.000    0.634    0.000 _base.py:1301(isspmatrix)
   685000    0.470    0.000    0.626    0.000 std.py:1157(__iter__)
     3710    0.483    0.000    0.544    0.000 ffi.py:149(__call__)
3404426/3404421    0.465    0.000    0.486    0.000 {built-in method builtins.isinstance}
    83755    0.484    0.000    0.484    0.000 {method 'read' of '_io.BufferedReader' objects}
3657/3536    0.038    0.000    0.464    0.000 {built-in method builtins.__build_class__}
       34    0.000    0.000    0.449    0.013 base.py:847(compile_subroutine)
        6    0.000    0.000    0.448    0.075 base.py:809(_compile_subroutine_no_cache)
        4    0.000    0.000    0.442    0.110 array_exprs.py:332(_lower_array_expr)
   684975    0.441    0.000    0.441    0.000 serialize.py:29(_numba_unpickle)
     11/6    0.000    0.000    0.438    0.073 typed_passes.py:98(run_pass)
     11/6    0.000    0.000    0.437    0.073 typed_passes.py:61(type_inference_stage)
  1369950    0.302    0.000    0.437    0.000 core.py:6425(isMaskedArray)
    27411    0.248    0.000    0.433    0.000 _idl.py:181(_read_data)
        1    0.000    0.000    0.427    0.427 pyplot.py:1(<module>)
     11/6    0.000    0.000    0.421    0.070 typeinfer.py:1067(propagate)
    23/13    0.001    0.000    0.421    0.032 typeinfer.py:142(propagate)
       12    0.000    0.000    0.419    0.035 codegen.py:739(finalize)
        6    0.000    0.000    0.411    0.069 compiler.py:783(compile_internal)
    92/70    0.000    0.000    0.404    0.006 codegen.py:565(_ensure_finalized)
  383/369    0.008    0.000    0.398    0.001 functions.py:281(get_call_type)
  1370004    0.395    0.000    0.395    0.000 {built-in method numpy.asarray}
  303/291    0.003    0.000    0.388    0.001 typeinfer.py:580(resolve)
  419/341    0.000    0.000    0.379    0.001 context.py:189(resolve_function_type)
  303/291    0.001    0.000    0.376    0.001 typeinfer.py:1517(resolve_call)
  419/341    0.001    0.000    0.375    0.001 context.py:233(_resolve_user_function_type)
        5    0.000    0.000    0.370    0.074 cpu.py:216(get_executable)
       13    0.000    0.000    0.369    0.028 codegen.py:975(get_pointer_to_function)
1878/1860    0.003    0.000    0.340    0.000 templates.py:349(apply)
  114/110    0.000    0.000    0.320    0.003 base.py:1189(__call__)
  114/110    0.000    0.000    0.319    0.003 base.py:1218(wrapper)
    85/73    0.001    0.000    0.293    0.004 typeinfer.py:570(__call__)
       17    0.000    0.000    0.281    0.017 codegen.py:723(add_ir_module)
  126/118    0.000    0.000    0.280    0.002 templates.py:607(generic)
        1    0.000    0.000    0.279    0.279 solar_flux.py:1(<module>)
  126/118    0.001    0.000    0.279    0.002 templates.py:698(_get_impl)
      100    0.001    0.000    0.275    0.003 artist.py:159(_update_set_signature_and_docstring)
      8/5    0.000    0.000    0.274    0.055 templates.py:756(_build_impl)
     14/3    0.000    0.000    0.274    0.091 functions.py:534(get_call_type)
     14/3    0.000    0.000    0.273    0.091 dispatcher.py:348(get_call_template)
       99    0.000    0.000    0.270    0.003 artist.py:126(__init_subclass__)
       30    0.000    0.000    0.260    0.009 base.py:876(compile_internal)
   728329    0.240    0.000    0.250    0.000 {method 'get' of 'dict' objects}
