Creating surface profile...
Computing temperature evolution...
Visualisation
         3801900 function calls (3755662 primitive calls) in 15.783 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       31    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(any)
      160    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(column_stack)
      171    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(concatenate)
    27400    0.022    0.000    0.092    0.000 <__array_function__ internals>:177(copy)
       42    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
    27401    0.023    0.000    0.262    0.000 <__array_function__ internals>:177(diff)
       31    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(linspace)
       31    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ndim)
       31    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(result_type)
    27400    0.022    0.000    2.338    0.000 <__array_function__ internals>:177(solve)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
     1799    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:100(acquire)
   900/14    0.004    0.000    0.798    0.057 <frozen importlib._bootstrap>:1022(_find_and_load)
       11    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap>:1038(_gcd_import)
 1081/456    0.002    0.000    0.562    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     1799    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:125(release)
      900    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:165(__init__)
      900    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:169(__enter__)
      900    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:173(__exit__)
     1799    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      896    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:198(cb)
      899    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
  1227/16    0.001    0.000    0.794    0.050 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     7432    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
      887    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
     1588    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:391(cached)
     1552    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      861    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      732    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
      861    0.003    0.000    0.017    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  861/858    0.001    0.000    0.042    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
   861/15    0.003    0.000    0.796    0.053 <frozen importlib._bootstrap>:664(_load_unlocked)
      896    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      884    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
      880    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:826(find_spec)
     3542    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
     3542    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
      884    0.006    0.000    0.055    0.000 <frozen importlib._bootstrap>:921(_find_spec)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
   894/13    0.003    0.000    0.797    0.061 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      732    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      732    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      732    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      732    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
  124/122    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
   124/87    0.000    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1226(_find_parent_path_names)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1236(_get_parent_path)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1240(_recalculate)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1254(__iter__)
     6839    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     6839    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     1464    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     2928    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       93    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
     1417    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
  881/880    0.003    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     3385    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      880    0.001    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       93    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
     1261    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      744    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
      856    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
     1299    0.009    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       93    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
     1167    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       93    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
       94    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      949    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
     1464    0.005    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      856    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      732    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      732    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      732    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      732    0.002    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
     1299    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      856    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     2196    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      732    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
   732/14    0.002    0.000    0.795    0.057 <frozen importlib._bootstrap_external>:877(exec_module)
      732    0.005    0.000    0.111    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       93    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
        7    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        3    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 <string>:4(cy_wrap)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:104(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
        1    0.000    0.000    0.007    0.007 Image.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:153(Transpose)
        1    0.000    0.000    0.000    0.000 Image.py:164(Transform)
        1    0.000    0.000    0.000    0.000 Image.py:173(Resampling)
        1    0.000    0.000    0.000    0.000 Image.py:192(Dither)
        1    0.000    0.000    0.000    0.000 Image.py:200(Palette)
        1    0.000    0.000    0.000    0.000 Image.py:205(Quantize)
        1    0.000    0.000    0.000    0.000 Image.py:2760(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2769(ImageTransformHandler)
        1    0.000    0.000    0.000    0.000 Image.py:3294(register_open)
        1    0.000    0.000    0.000    0.000 Image.py:3309(register_mime)
        1    0.000    0.000    0.000    0.000 Image.py:3320(register_save)
        1    0.000    0.000    0.000    0.000 Image.py:3331(register_save_all)
        2    0.000    0.000    0.000    0.000 Image.py:3343(register_extension)
        1    0.000    0.000    0.000    0.000 Image.py:3354(register_extensions)
        1    0.000    0.000    0.000    0.000 Image.py:3464(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3500(Exif)
        1    0.000    0.000    0.000    0.000 Image.py:441(_E)
        1    0.000    0.000    0.000    0.000 Image.py:484(Image)
        1    0.000    0.000    0.000    0.000 Image.py:82(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:86(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 ImageChops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:318(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:345(Parser)
        1    0.000    0.000    0.000    0.000 ImageFile.py:572(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:583(PyCodec)
        1    0.000    0.000    0.000    0.000 ImageFile.py:653(PyDecoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:700(PyEncoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:84(ImageFile)
        1    0.000    0.000    0.000    0.000 ImageMode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:22(ModeDescriptor)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:25(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:19(PaletteFile)
        1    0.000    0.000    0.003    0.003 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1068(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1079(_fdat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:120(Blend)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:134(__getattr__)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:160(ChunkStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:252(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:274(PngInfo)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:358(PngStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:708(PngImageFile)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:99(Disposal)
        1    0.000    0.000    0.000    0.000 TiffTags.py:1(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      146    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:419(_populate)
        1    0.000    0.000    0.000    0.000 __about__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __config__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
      102    0.003    0.000    1.355    0.013 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:101(_StrongRef)
        7    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1057(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:106(__version__)
       11    0.000    0.000    0.011    0.001 __init__.py:108(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:113(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1192(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:12(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:122(EmptyDataError)
        1    0.000    0.000    0.000    0.000 __init__.py:1225(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1231(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1249(PlaceHolder)
        6    0.000    0.000    0.000    0.000 __init__.py:1255(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1261(append)
        1    0.000    0.000    0.000    0.000 __init__.py:128(ParserWarning)
